latitude,longitude,noise_level_dB
6.518727005942368,3.3984792313882277,70.87047068238171
6.547535715320496,3.388756641168056,67.00992649534132
6.53659969709057,3.3969749470782094,70.91760776535503
6.529932924209851,3.3947413675213824,50.124310853991076
6.507800932022122,3.3798949989405545,67.80328112162488
6.50779972601681,3.396093711751156,73.57112571511746
6.50290418060841,3.354424625102596,84.77894044741517
6.543308807288747,3.3597991431209575,64.81729781726352
6.53005575058716,3.352261364445527,61.91506397106812
6.535403628889802,3.3662665165381633,64.98242956415463
6.50102922471479,3.369433864484474,79.15402117702074
6.548495492608099,3.3635674515886946,73.28751109659684
6.541622132040021,3.3914368754575963,64.70239796232961
6.510616955533914,3.3678376663346796,75.13267433113356
6.509091248360355,3.364046725484369,70.9707754934804
6.509170225492672,3.3771348041579126,79.68644990532889
6.515212112147977,3.357046211248738,62.979469061226474
6.526237821581612,3.3901098490377017,66.72337853402232
6.521597250932106,3.3537275321839886,66.07891846867842
6.514561457009902,3.3993443468300257,55.364850518678814
6.530592644736119,3.388612238464833,72.96120277064576
6.5069746930326025,3.3599357840767086,72.6105527217989
6.514607232426761,3.3502761058561803,70.05113456642461
6.518318092164685,3.3907730714227418,67.65412866624852
6.522803499210852,3.3853428671923806,55.84629257949586
6.539258798069651,3.3864503584020493,65.79354677234642
6.509983689107918,3.388563517334297,66.57285483473231
6.525711721920681,3.3537022325867047,61.97722730778381
6.529620728443102,3.3679232864272137,68.3871428833399
6.502322520636,3.3557934529762568,74.04050856814538
6.530377242595072,3.3931551712937797,88.8618590121053
6.5085262061843645,3.381164906341378,71.74577812831839
6.503252579649264,3.3665449012426323,72.57550390722764
6.547444276862667,3.353177917514301,69.25554084233833
6.548281601653728,3.3655491160857833,50.812287847009586
6.540419867405823,3.3662591661013375,69.73486124550783
6.515230688458669,3.3864803089169033,70.60230209941027
6.504883605700319,3.3818778735677606,94.63242112485287
6.534211651325608,3.394360637128816,68.07639035218878
6.52200762468698,3.3736107462580973,73.01547342333612
6.506101911742239,3.3559797122969153,69.65288230294756
6.524758845505564,3.3856622393611495,58.31321962380468
6.501719426055761,3.3880392524308447,81.4282281451502
6.545466020103939,3.3780638598784747,77.51933032686775
6.512938999080001,3.388548358997728,77.91031947043047
6.533126114217699,3.3746897798182194,60.906125452052606
6.5155855538044705,3.3761366414691,84.02794310936099
6.52600340105889,3.3713770509179275,55.98148937207719
6.527335513967164,3.351270956337205,75.8685709380027
6.509242722776277,3.3553945713496653,91.90455625809979
